latitude,longitude
25.48842018,51.45017025
25.48842831,51.45016594
25.48843631,51.45016133
25.48844419,51.45015648
25.48845194,51.45015139
25.48845962,51.45014615
25.48846724,51.45014081
25.48847484,51.45013546
25.48848243,51.45013007
25.48848997,51.45012461
25.48849745,51.45011904
25.48850493,51.45011347
25.48851239,51.45010788
25.48851992,51.45010239
25.48852745,51.4500969
25.48853499,51.45009142
25.48854257,51.45008604
25.48855017,51.45008067
25.48855779,51.45007533
25.48856543,51.45007003
25.48857308,51.45006476
25.48858074,51.4500595
25.48858841,51.45005426
25.48859609,51.45004903
25.48860377,51.4500438
25.48861144,51.45003856
25.48861912,51.45003332
25.48862683,51.45002815
25.48863462,51.45002312
25.48864249,51.45001826
25.48865027,51.45001322
25.48865798,51.45000805
25.48866579,51.45000306
25.48867363,51.44999814
25.4886814,51.44999307
25.48868914,51.44998796
25.48869694,51.44998294
25.48870475,51.44997795
25.48871259,51.44997303
25.48872045,51.44996813
25.4887283,51.44996323
25.48873615,51.44995832
25.48874402,51.44995345
25.4887519,51.44994861
25.48875979,51.44994377
25.48876768,51.44993894
25.48877557,51.4499341
25.48878342,51.44992919
25.48879127,51.44992429
25.48879913,51.4499194
25.488807,51.44991452
25.48881485,51.44990962
25.48882271,51.44990471
25.48883056,51.44989981
25.48883847,51.44989501
25.48884638,51.44989022
25.48885429,51.44988543
25.4888622,51.44988063
25.4888701,51.44987583
25.48887798,51.44987097
25.48888586,51.44986612
25.48889374,51.44986128
25.48890164,51.44985646
25.48890954,51.44985164
25.48891745,51.44984685
25.48892535,51.44984206
25.48893325,51.44983723
25.48894113,51.44983238
25.48894901,51.44982752
25.48895692,51.44982273
25.48896483,51.44981796
25.48897275,51.44981317
25.48898064,51.44980834
25.48898852,51.4498035
25.48899641,51.44979867
25.4890043,51.44979384
25.48901219,51.449789
25.48902009,51.44978419
25.48902799,51.44977938
25.4890359,51.44977457
25.48904382,51.4497698
25.48905174,51.44976504
25.48905966,51.44976027
25.4890676,51.44975553
25.48907553,51.44975078
25.48908346,51.44974604
25.48909141,51.44974131
25.48909935,51.44973659
25.4891073,51.44973187
25.48911525,51.44972717
25.48912321,51.44972248
25.48913115,51.44971775
25.48913908,51.44971299
25.489147,51.44970822
25.48915491,51.44970343
25.48916281,51.44969862
25.48917071,51.4496938
25.48917861,51.44968899
25.48918651,51.44968419
25.48919442,51.44967938
25.48920233,51.44967459
25.48921024,51.44966981
25.48921816,51.44966504
25.4892261,51.4496603
25.48923407,51.44965563
25.48924204,51.44965097
25.48925001,51.44964628
25.48925792,51.44964151
25.48926584,51.44963673
25.48927376,51.44963195
25.48928168,51.44962718
25.4892896,51.44962241
25.48929752,51.44961764
25.48930554,51.44961308
25.48931359,51.44960857
25.48932163,51.44960406
25.48932968,51.44959956
25.48933774,51.44959507
25.48934579,51.44959058
25.48935378,51.44958596
25.48936166,51.4495811
25.48936953,51.44957623
25.4893774,51.44957136
25.48938525,51.44956645
25.4893931,51.44956154
25.48940095,51.44955663
25.48940884,51.4495518
25.48941674,51.44954699
25.48942465,51.44954219
25.48943255,51.44953739
25.48944047,51.44953261
25.48944838,51.44952782
25.4894563,51.44952304
25.48946419,51.44951821
25.48947208,51.44951338
25.48947997,51.44950854
25.48948784,51.44950369
25.48949571,51.44949882
25.48950358,51.44949394
25.48951146,51.44948908
25.48951937,51.44948429
25.48952728,51.44947949
25.48953518,51.4494747
25.48954307,51.44946985
25.48955094,51.44946498
25.4895588,51.44946011
25.48956667,51.44945523
25.48957455,51.44945037
25.48958242,51.44944551
25.4895903,51.44944065
25.48959817,51.44943579
25.48960605,51.44943092
25.48961392,51.44942606
25.48962179,51.44942119
25.48962965,51.4494163
25.48963751,51.4494114
25.48964537,51.44940651
25.48965324,51.44940164
25.48966112,51.44939678
25.489669,51.44939193
25.48967688,51.44938708
25.48968476,51.44938223
25.48969264,51.44937738
25.48970052,51.44937252
25.4897084,51.44936767
25.48971628,51.44936283
25.48972417,51.44935799
25.48973205,51.44935315
25.48973994,51.44934831
25.48974783,51.44934349
25.48975572,51.44933866
25.48976362,51.44933383
25.48977151,51.44932901
25.48977941,51.4493242
25.48978731,51.44931938
25.48979521,51.44931456
25.48980307,51.44930968
25.48981094,51.4493048
25.4898188,51.44929992
25.48982668,51.44929507
25.48983458,51.44929026
25.48984248,51.44928545
25.48985038,51.44928064
25.48985827,51.4492758
25.48986615,51.44927095
25.48987403,51.4492661
25.48988192,51.44926125
25.48988978,51.44925638
25.48989765,51.4492515
25.48990552,51.44924663
25.48991339,51.44924175
25.48992123,51.44923683
25.48992908,51.44923191
25.48993692,51.44922699
25.48994478,51.44922209
25.48995265,51.44921723
25.48996053,51.44921238
25.48996841,51.44920752
25.48997628,51.44920265
25.48998414,51.44919776
25.489992,51.44919287
25.48999986,51.44918798
25.49000772,51.4491831
25.49001559,51.44917821
25.49002345,51.44917333
25.49003132,51.44916845
25.49003918,51.44916356
25.49004703,51.44915866
25.49005489,51.44915376
25.49006275,51.44914887
25.4900706,51.44914397
25.49007846,51.44913907
25.49008632,51.44913417
25.49009417,51.44912927
25.49010204,51.4491244
25.49010991,51.44911953
25.49011778,51.44911466
25.49012565,51.44910979
25.49013352,51.44910491
25.49014138,51.44910002
25.49014925,51.44909514
25.49015711,51.44909026
25.49016499,51.4490854
25.49017287,51.44908055
25.49018075,51.44907571
25.49018863,51.44907086
25.49019652,51.44906601
25.4902044,51.44906117
25.49021229,51.44905633
25.49022017,51.44905149
25.49022805,51.44904663
25.49023592,51.44904177
25.4902438,51.4490369
25.49025167,51.44903204
25.49025955,51.44902719
25.49026743,51.44902234
25.49027532,51.4490175
25.4902832,51.44901265
25.49029107,51.44900779
25.49029895,51.44900293
25.49030682,51.44899806
25.4903147,51.4489932
25.49032257,51.44898833
25.49033044,51.44898346
25.4903383,51.44897858
25.49034617,51.44897371
25.49035404,51.44896883
25.4903619,51.44896394
25.49036976,51.44895906
25.49037763,51.44895417
25.4903855,51.4489493
25.49039338,51.44894446
25.49040127,51.44893963
25.49040916,51.44893479
25.49041704,51.44892994
25.49042491,51.44892506
25.49043277,51.44892018
25.49044064,51.4489153
25.4904485,51.44891042
25.49045636,51.44890553
25.49046422,51.44890063
25.49047207,51.44889573
25.49047993,51.44889083
25.4904878,51.44888595
25.49049567,51.44888108
25.49050354,51.44887621
25.49051141,51.44887134
25.49051928,51.44886647
25.49052715,51.4488616
25.49053502,51.44885673
25.49054289,51.44885187
25.49055076,51.448847
25.49055863,51.44884213
25.4905665,51.44883726
25.49057437,51.44883238
25.49058224,51.44882751
25.49059011,51.44882263
25.49059798,51.44881775
25.49060584,51.44881287
25.49061371,51.44880799
25.49062158,51.44880312
25.49062945,51.44879826
25.49063733,51.4487934
25.4906452,51.44878854
25.49065308,51.44878368
25.49066096,51.44877884
25.49066884,51.44877399
25.49067673,51.44876914
25.49068461,51.44876429
25.49069249,51.44875944
25.49070037,51.44875459
25.49070825,51.44874974
25.49071613,51.44874489
25.49072401,51.44874004
25.4907319,51.44873521
25.49073979,51.44873037
25.49074767,51.44872553
25.49075556,51.44872069
25.49076343,51.44871582
25.49077131,51.44871096
25.49077918,51.44870609
25.49078705,51.44870123
25.49079494,51.44869638
25.49080283,51.44869155
25.49081072,51.44868672
25.49081861,51.44868189
25.49082649,51.44867705
25.49083436,51.44867217
25.49084222,51.44866729
25.49085009,51.4486624
25.49085795,51.44865752
25.49086582,51.44865266
25.4908737,51.44864779
25.49088157,51.44864293
25.49088945,51.44863807
25.49089732,51.44863321
25.49090521,51.44862836
25.49091309,51.44862351
25.49092097,51.44861866
25.49092885,51.44861382
25.49093673,51.44860896
25.49094461,51.44860411
25.49095249,51.44859926
25.49096037,51.44859441
25.49096825,51.44858956
25.49097613,51.44858471
25.49098401,51.44857986
25.4909919,51.44857501
25.49099978,51.44857017
25.49100767,51.44856534
25.49101557,51.44856052
25.49102346,51.4485557
25.49103136,51.44855088
25.49103925,51.44854605
25.49104714,51.44854122
25.49105503,51.44853639
25.49106292,51.44853156
25.49107081,51.44852672
25.49107869,51.44852187
25.49108657,51.44851702
25.49109445,51.44851217
25.49110233,51.44850732
25.49111021,51.44850247
25.49111809,51.44849761
25.49112597,51.44849276
25.49113385,51.4484879
25.49114172,51.44848305
25.4911496,51.44847819
25.49115748,51.44847334
25.49116536,51.44846849
25.49117324,51.44846363
25.49118113,51.44845879
25.49118902,51.44845397
25.49119692,51.44844915
25.49120481,51.44844433
25.49121271,51.44843951
25.49122059,51.44843467
25.49122848,51.44842982
25.49123636,51.44842498
25.49124425,51.44842014
25.49125213,51.4484153
25.49126002,51.44841045
25.4912679,51.44840561
25.49127578,51.44840077
25.49128367,51.44839592
25.49129154,51.44839106
25.49129942,51.4483862
25.49130729,51.44838134
25.49131517,51.44837647
25.49132305,51.44837162
25.49133093,51.44836677
25.49133881,51.44836193
25.4913467,51.44835708
25.49135458,51.44835224
25.49136245,51.44834737
25.49137031,51.44834249
25.49137818,51.44833761
25.49138605,51.44833273
25.49139391,51.44832785
25.49140178,51.44832298
25.49140965,51.44831811
25.49141752,51.44831323
25.49142539,51.44830836
25.49143326,51.44830348
